Date,Ticker,Open,High,Low,Close,Volume,Volatility,Market_Cap_M
2025-12-26,ADWYA,5.95,5.95,5.95,5.95,9422,,128.0
2025-12-26,AETEC,0.32,0.32,0.31,0.31,214,3.13,0.7
2025-12-26,AL,149.99,150.5,150.5,150.5,137,0.34,246.0
2025-12-26,AB,48.7,48.7,48.7,48.7,630,0.41,1701.0
2025-12-26,AMS,0.95,0.95,0.95,0.95,1574,,6.2
2025-12-26,ATB,3.74,3.74,3.7,3.7,5200,1.07,474.0
2025-12-26,ATL,6.0,6.06,6.06,6.06,1694,1.83,197.0
2025-12-26,ARTES,11.64,11.64,11.55,11.55,130,0.77,442.0
2025-12-26,ASSAD,3.04,3.17,3.17,3.17,63114,4.28,76.1
2025-12-26,ASSMA,56.5,56.5,56.5,56.5,4000,,254.0
2025-12-26,AST,45.0,46.0,46.0,46.0,2,2.22,276.0
2025-12-26,TJARI,65.89,66.3,66.25,66.25,865,0.62,3313.0
2025-12-26,TJL,29.27,29.27,29.0,29.0,509,0.92,79.8
2025-12-26,BT,6.35,6.35,6.34,6.34,100,0.16,1712.0
2025-12-26,BNA,12.0,12.0,12.0,12.0,677,,768.0
2025-12-26,BL,2.2,2.2,2.2,2.2,298,,66.0
2025-12-26,BHASS,62.99,63.0,63.0,63.0,13192,0.02,168.0
2025-12-26,BH,10.2,10.4,10.4,10.4,1,1.96,495.0
2025-12-26,BHL,3.79,3.79,3.79,3.79,80,,26.5
2025-12-26,BIAT,108.5,109.2,109.0,109.0,2796,0.65,4447.0
2025-12-26,BNASS,3.18,3.26,3.11,3.11,6176,4.72,273.0
2025-12-26,BTE,3.54,3.54,3.54,3.54,1099,,19.2
2025-12-26,CC,1.89,1.9,1.89,1.89,14291,2.12,649.0
2025-12-26,CELL,3.09,3.09,3.0,3.0,550,2.91,13.4
2025-12-26,CREAL,13.3,13.3,13.3,13.3,42,,65.0
2025-12-26,CIL,27.21,27.21,27.11,27.11,153,0.37,190.0
2025-12-26,SCB,0.47,0.47,0.47,0.47,200,,20.7
2025-12-26,CITY,19.7,19.7,19.7,19.7,2520,1.02,355.0
2025-12-26,DH,12.93,12.93,12.88,12.88,2204,0.39,1414.0
2025-12-26,ELBEN,2.28,2.28,2.28,2.28,20,,22.8
2025-12-26,LSTR,0.31,0.31,0.3,0.3,555,3.23,3.1
2025-12-26,NAKL,15.14,15.14,15.1,15.1,1,0.26,453.0
2025-12-26,SOKNA,3.18,3.28,3.28,3.28,10,3.14,16.6
2025-12-26,ECYCL,12.5,12.5,12.3,12.3,1264,1.6,121.0
2025-12-26,GIF,0.43,0.44,0.44,0.44,14344,2.33,4.6
2025-12-26,HL,7.6,7.6,7.6,7.6,1,,83.6
2025-12-26,XABYT,7.55,7.55,7.55,7.55,1,,15.7
2025-12-26,ICF,83.9,83.9,82.3,82.3,68,2.23,173.0
2025-12-26,LNDOR,14.8,14.8,14.8,14.8,117,,204.0
2025-12-26,MAG,10.43,10.6,10.43,10.43,603775,1.63,165.0
2025-12-26,AMV,6.71,6.71,6.7,6.7,690,0.15,168.0
2025-12-26,SAM,4.69,4.7,4.7,4.7,562,3.62,26.1
2025-12-26,MIP,0.08,0.08,0.08,0.08,50,,0.4
2025-12-26,MNP,6.2,6.2,6.15,6.15,320,0.81,123.0
2025-12-26,MPBS,8.7,8.77,8.77,8.77,6449,0.8,90.6
2025-12-26,NBL,4.1,4.1,4.09,4.09,28,5.85,17.4
2025-12-26,PLAST,1.84,1.84,1.81,1.81,7150,1.63,22.1
