Ticker1,Ticker2,Correlation
AB,ADWYA,
AB,AETEC,
AB,AL,
AB,ALKIM,
AB,AMI,
AB,AMS,
AB,ARTES,
AB,ASSAD,
AB,ASSMA,
AB,AST,
AB,ATB,
AB,ATL,
AB,BH,
AB,BHASS,
AB,BHL,
AB,BIAT,
AB,BL,
AB,BNA,
AB,BT,
AB,BTE,
AB,CC,
AB,CELL,
AB,CIL,
AB,CITY,
AB,CREAL,
AB,DH,
AB,ECYCL,
AB,ELBEN,
AB,GIF,
AB,HL,
AB,ICF,
AB,LNDOR,
AB,LSTR,
AB,MAG,
AB,MGR,
AB,MIP,
AB,MNP,
AB,MPBS,
AB,NAKL,
AB,NBL,
AB,OTH,
AB,PGH,
AB,PLAST,
AB,PLTU,
AB,SAH,
AB,SAM,
AB,SCB,
AB,SERVI,
AB,SFBT,
AB,SIAME,
AB,SIMPA,
AB,SIPHA,
AB,SITS,
AB,SMART,
AB,SMD,
AB,SOKNA,
AB,SOMOC,
AB,SOPAT,
AB,SOTEM,
AB,SOTET,
AB,SOTUV,
AB,SPDIT,
AB,SPHAX,
AB,STA,
AB,STAR,
AB,STB,
AB,STEQ,
AB,STIP,
AB,STPAP,
AB,STPIL,
AB,TAIR,
AB,TGH,
AB,TINV,
AB,TJARI,
AB,TJL,
AB,TLNET,
AB,TLS,
AB,TPR,
AB,TRE,
AB,TVAL,
AB,UADH,
AB,UBCI,
AB,UIB,
AB,UMED,
AB,WIFAK,
AB,XABYT,
ADWYA,AETEC,
ADWYA,AL,
ADWYA,ALKIM,
ADWYA,AMI,
ADWYA,AMS,
ADWYA,ARTES,
ADWYA,ASSAD,
ADWYA,ASSMA,
ADWYA,AST,
ADWYA,ATB,
ADWYA,ATL,
ADWYA,BH,
ADWYA,BHASS,
ADWYA,BHL,
ADWYA,BIAT,
ADWYA,BL,
ADWYA,BNA,
ADWYA,BT,
ADWYA,BTE,
ADWYA,CC,
ADWYA,CELL,
ADWYA,CIL,
ADWYA,CITY,
ADWYA,CREAL,
ADWYA,DH,
ADWYA,ECYCL,
ADWYA,ELBEN,
ADWYA,GIF,
ADWYA,HL,
ADWYA,ICF,
ADWYA,LNDOR,
ADWYA,LSTR,
